14-December,139,115.0,123.0,108,98.0,120.0,96.0
15-December,134,129.0,125.0,97,102.0,121.0,120.0
16-December,123,138.0,126.0,107,112.0,129.0,105.0
17-December,119,142.0,131.0,112,105.0,100.0,112.0
18-December,118,145.0,102.0,89,114.0,133.0,105.0
19-December,124,123.0,123.0,110,107.0,108.0,105.0
20-December,123,94.0,128.0,127,73.0,102.0,95.0
21-December,129,120.0,108.0,90,94.0,120.0,84.0
22-December,113,101.0,106.0,98,95.0,90.0,96.0
23-December,116,94.0,88.0,86,82.0,104.0,76.0
24-December,75,91.0,72.0,73,65.0,65.0,63.0
25-December,84,67.0,69.0,52,61.0,65.0,51.0
26-December,84,91.0,95.0,60,86.0,72.0,86.0
27-December,88,76.0,102.0,82,76.0,106.0,68.0
28-December,85,104.0,96.0,70,86.0,77.0,87.0
29-December,104,96.0,90.0,67,64.0,81.0,74.0
30-December,74,84.0,103.0,74,86.0,95.0,91.0
31-December,63,78.0,77.0,74,58.0,69.0,81.0
